sqft_living,price
1180,221900
2570,538000
770,180000
1960,604000
1680,510000
5420,1225000
1715,257500
1060,291850
1780,229500
1890,323000
3560,662500
1160,468000
1430,310000
1370,400000
1810,530000
2950,650000
1890,395000
1600,485000
1200,189000
1250,230000
1620,385000
3050,2000000
2270,285000
1070,252700
2450,329000
1710,233000
2450,937000
1400,667000
1520,438000
2570,719000
2320,580500
1190,280000
2330,687500
1090,535000
2060,322500
2300,696000
1660,550000
2360,640000
1220,240000
2620,605000
2570,625000
4220,775000
3595,861990
1570,685000
1280,309000
3160,488000
990,210490
2290,785000
1250,450000
2753,1350000
1190,228000
3150,345000
1410,600000
1980,585000
2730,920000
2830,885000
2250,292500
2420,301000
3250,951000
1850,430000
2150,650000
1260,289000
2519,505000
1540,549000
1660,425000
2770,317625
2720,975000
2240,287000
1000,204000
3200,1325000
4770,1040000
1260,325000
2750,571000
2380,360000
1790,349000
3430,832500
1760,380000
1040,480000
1410,410000
3450,720000
2350,390000
1900,360000
2020,355000
1680,356000
960,315000
2140,940000
2660,305000
2770,461000
1610,215000
1030,335000
1980,243500
3520,1099880
1200,153000
1580,430000
1580,700000
3300,905000
1960,247500
1160,199000
1810,314000
2320,437500
2070,850830
1980,555000
2190,699950
2920,1088000
1210,290000
2340,375000
1670,460000
1240,188500
3140,680000
2030,470000
2310,597750
1260,570000
1540,272500
2080,329950
3230,480000
4380,740500
1590,518500
880,205425
1570,171800
1610,535000
2400,660000
1450,391500
770,395000
2100,445000
2910,770000
2750,1450000
2100,445000
2160,260000
2320,822500
2070,430000
1060,212000
2010,660500
3950,784000
2010,453246
2140,675000
1320,199000
2020,220000
2590,452000
1190,382500
1170,519950
1110,665000
2820,527700
1610,205000
1060,420000
2030,500000
3670,921500
2550,890000
2420,430000
2260,258000
1430,511000
1360,532170
1110,560000
1250,282950
5180,2250000
700,350000
1180,215000
3960,650000
2640,320000
1270,247000
1760,320000
2060,255000
1780,438000
3400,900000
1910,441000
2020,420000
1580,370000
1340,269950
2680,807100
2680,653000
1370,371500
1560,284000
2160,272000
1340,313000
3880,917500
2590,673000
1120,425000
1970,399950
1220,385000
1950,269950
1350,330000
1670,260000
2380,470000
2440,589000
1050,163500
3130,835000
4090,1095000
1490,269000
1900,560000
1330,615000
2230,585188
1650,305000
1190,166950
2140,799000
2180,400000
1060,230000
1690,256883
1970,423000
2150,465000
1910,440000
1350,385000
860,210000
1940,297000
1010,470000
1300,226500
910,274250
2480,840000
2440,677900
1010,425000
900,180250
2300,464000
1550,320000
1270,625504
2240,592500
2714,465000
1720,477000
850,280000
3300,1505000
2250,445838
3900,1072000
1320,467000
2760,686000
1750,279950
2330,527000
2220,325000
2020,328000
1250,390000
1510,479950
1720,264950
1430,235000
1480,516500
1450,655000
2280,500000
2940,315000
1000,213000
2480,475000
3760,1025000
2220,416000
1970,410000
3830,800000
4410,472000
1430,225000
830,210000
1430,455000
1300,225000
1030,480000
2740,363000
3650,2400000
720,181000
2010,250000
1560,481000
1810,260000
3360,455000
1510,415000
1400,349500
1730,245000
1420,592500
2360,385000
1580,315000
1230,255000
2460,693000
1660,780000
1270,237000
2100,525000
770,425000
760,369900
1700,290000
1120,285000
1070,415000
2070,272500
5050,2900000
5310,1365000
1040,436000
1700,210000
1300,236000
1080,331000
2653,365000
2290,450000
3820,770000
2210,455000
2390,405000
2600,304900
860,170000
3830,2050000
3500,780000
2420,330000
2720,370000
2500,467000
1670,405000
2900,675000
1640,500000
1890,389999
2950,630000
2160,360000
3280,580000
1970,550000
3360,879000
1320,265000
2650,446500
2030,404000
1590,267500
4550,3075000
2440,335000
1940,576000
2040,208633
2200,315000
1920,725000
1800,550000
2180,610750
1010,550700
3320,665000
2370,834000
1660,201000
3650,2384000
4290,1384000
4290,1400000
1950,305000
2590,487000
1930,390000
1470,548000
800,268750
3150,819900
2030,520000
1450,230000
1510,240000
1240,232000
1240,240500
3030,274975
2050,740000
1000,186375
2370,790000
2800,880000
2240,279000
1810,295000
1070,640000
2490,940000
1960,260000
2930,559900
1510,791500
1420,265000
1740,245000
2560,485000
3040,684000
2500,425000
1275,309600
2580,552250
1000,165000
